"","full.name","regex"
"1","International Lead Association (ILA)","international lead association (ila)"
"2","Airborne Wind Europe","airborne wind europe"
"3","European Association of Paritarian Institutions of Social Protection (AEIP)","european association of paritarian institutions of social protection (aeip)"
"4","Global Libraries - Bulgaria Foundation (GLBF)","global libraries - bulgaria foundation (glbf)"
"5","SAZKA Group a.s.","sazka group a.s."
"6","Danish Trade Union Office (FH)","danish trade union office (fh)"
"7","Insurance & Pension Denmark (Forsikring & Pension) (IPD)","insurance & pension denmark (forsikring & pension) (ipd)"
"8","Clann Credo - Community Loan Finance (CCL)","clann credo - community loan finance (ccl)"
"9","Publishing Ireland","publishing ireland"
"10","Aerospace Industries Association (AIA) (AIA)","aerospace industries association (aia) (aia)"
"11","Schroders Investment Management (Europe) SA","schroders investment management (europe) sa"
"12","SEV - Hellenic Federation of Enterprises (S<U+0395><U+0392> (SEV))","sev - hellenic federation of enterprises (seß (sev))"
"13","ASOCIACION NACIONAL DE ACUICULTURA DE ATUN ROJO (ANATUN)","asociacion nacional de acuicultura de atun rojo (anatun)"
"14","UNAUTO VTC (UNAUTO VTC)","unauto vtc (unauto vtc)"
"15","Stichting European Lawyers Foundation (ELF)","stichting european lawyers foundation (elf)"
"16","Invest Europe (Invest Europe)","invest europe (invest europe)"
"17","LVMH Publica (LVMH Publica)","lvmh publica (lvmh publica)"
"18","Science Business International SRL","science business international srl"
"19","Freemuse","freemuse"
"20","Ørsted A/S","ørsted a/s"
"21","Landbrug & Fødevarer - Danish Agriculture and Food Council (DAFC)","landbrug & fødevarer - danish agriculture and food council (dafc)"
"22","Grundfos Holding A/S (Grundfos)","grundfos holding a/s (grundfos)"
"23","Alexion Pharmaceuticals (Alexion)","alexion pharmaceuticals (alexion)"
"24","BSA | The Software Alliance (BSA)","bsa | the software alliance (bsa)"
"25","Bristol-Myers Squibb Company (BMS)","bristol-myers squibb company (bms)"
"26","Thermo Fisher Scientific (TMO)","thermo fisher scientific (tmo)"
"27","International Emissions Trading Association (IETA)","international emissions trading association (ieta)"
"28","Deutsche Bauchemie e.V. (DBC)","deutsche bauchemie e.v. (dbc)"
"29","Institute of Directors Belgium (IOD Belgium)","institute of directors belgium (iod belgium)"
"30","PANASONIC EUROPE BV (PE)","panasonic europe bv (pe)"
"31","Associazione delle Imprese del farmaco (FARMINDUSTRIA)","associazione delle imprese del farmaco (farmindustria)"
"32","Sony Europe B.V.","sony europe b.v."
"33","European Network for Accreditation of Engineering Education (ENAEE)","european network for accreditation of engineering education (enaee)"
"34","The Norwegian Shipowners' Association (NSA)","the norwegian shipowners' association (nsa)"
"35","European Utilities Telecom Council (EUTC)","european utilities telecom council (eutc)"
"36","EuroMed Rights / EuroMed Droits (EuroMed Rights)","euromed rights / euromed droits (euromed rights)"
"37","DFDS A/S (DFDS)","dfds a/s (dfds)"
"38","Eesti Põllumajandus-Kaubanduskoda (EPKK)","eesti põllumajandus-kaubanduskoda (epkk)"
"39","Fagbevægelsens Hovedorganisation (FH)","fagbevægelsens hovedorganisation (fh)"
"40","MSD (Europe), Inc. (Merck Sharp & Dohme) (MSD)","msd (europe), inc. (merck sharp & dohme) (msd)"
"41","International Chewing Gum Association (ICGA)","international chewing gum association (icga)"
"42","Huntsman","huntsman"
"43","Verband der Kali- und Salzindustrie e.V. (VKS)","verband der kali- und salzindustrie e.v. (vks)"
"44","CARE France","care france"
"45","Bundesverband Breitbandkommunikation e.V. (BREKO)","bundesverband breitbandkommunikation e.v. (breko)"
"46","British Chamber of Commerce | EU & Belgium (BritCham)","british chamber of commerce | eu & belgium (britcham)"
"47","Getinge AB","getinge ab"
"48","Regions: Skills, Education, Training (RESET)","regions: skills, education, training (reset)"
"49","Finance Denmark (FiDa)","finance denmark (fida)"
"50","Glavbolgarstroy Holding AD (GBS)","glavbolgarstroy holding ad (gbs)"
"51","Svaz prumyslu a dopravy CR (SP CR)","svaz prumyslu a dopravy cr (sp cr)"
"52","European Confederation of Agronomists Associations (CEDIA)","european confederation of agronomists associations (cedia)"
"53","ZOETIS","zoetis"
"54","Workday","workday"
"55","Infineon Technologies AG","infineon technologies ag"
"56","Verband Kommunaler Unternehmen e.V. (VKU)","verband kommunaler unternehmen e.v. (vku)"
"57","Ford Motor Company (FMC)","ford motor company (fmc)"
"58","Confederación Española de Organizaciones Empresariales (CEOE)","confederación española de organizaciones empresariales (ceoe)"
"59","Total Diet & Meal Replacements Europe (TDMR Europe)","total diet & meal replacements europe (tdmr europe)"
"60","Jaguar Land Rover Limited (JLR)","jaguar land rover limited (jlr)"
"61","Associazione fra le società italiane per azioni (ASSONIME)","associazione fra le società italiane per azioni (assonime)"
"62","Knauf Insulation","knauf insulation"
"63","Confederation of Danish Employers (DA)","confederation of danish employers (da)"
"64","Brazilian Association of Animal Protein (ABPA)","brazilian association of animal protein (abpa)"
"65","Environmental Partnership Association (EPA)","environmental partnership association (epa)"
"66","Women Political Leaders (WPL)","women political leaders (wpl)"
"67","Too Good To Go","too good to go"
"68","Verizon Communications Inc","verizon communications inc"
"69","General Aviation Manufacturers Association (GAMA)","general aviation manufacturers association (gama)"
"70","Association des Banques et Banquiers, Luxembourg (ABBL)","association des banques et banquiers, luxembourg (abbl)"
"71","Sony Pictures Entertainment Inc. (SPE)","sony pictures entertainment inc. (spe)"
"72","RENEWABLE ENERGY GROUP (REG)","renewable energy group (reg)"
"73","AJINOMOTO EUROPE","ajinomoto europe"
"74","Schmitz Cargobull AG","schmitz cargobull ag"
"75","Rainbow Rose (RR)","rainbow rose (rr)"
"76","Enagás S.A.","enagás s.a."
"77","Zero Waste Europe (ZWE)","zero waste europe (zwe)"
"78","Rabobank","rabobank"
"79","European Construction, built environment and energy-efficient buildings Technology Platform (ECTP)","european construction, built environment and energy-efficient buildings technology platform (ectp)"
"80","Världsnaturfonden WWF (WWF Sweden)","världsnaturfonden wwf (wwf sweden)"
"81","IOGT-NTO","iogt-nto"
"82","LadyAgri Impact Investment Hub (LadyAgri)","ladyagri impact investment hub (ladyagri)"
"83","Novolipetsk Steel (NLMK)","novolipetsk steel (nlmk)"
"84","European Huntington Association (EHA)","european huntington association (eha)"
"85","VELUX A/S (VELUX Group)","velux a/s (velux group)"
"86","Terma A/S","terma a/s"
"87","Danske Maritime (DM)","danske maritime (dm)"
"88","LEO Pharma A/S (LEO Pharma)","leo pharma a/s (leo pharma)"
"89","Tata Consultancy Services Belgium NV/SA (TCS)","tata consultancy services belgium nv/sa (tcs)"
"90","Splunk","splunk"
"91","Biodynamic Federation - Demeter International (BFDI)","biodynamic federation - demeter international (bfdi)"
"92","METRO AG","metro ag"
"93","Trailer Industrie Verband e.V. (TIV)","trailer industrie verband e.v. (tiv)"
"94","London Stock Exchange Group (LSEG)","london stock exchange group (lseg)"
"95","EUROM1","eurom1"
"96","Barilla G. e R. Fratelli SpA","barilla g. e r. fratelli spa"
"97","Aon","aon"
"98","Indra (Indra)","indra (indra)"
"99","Borealis Alliance","borealis alliance"
"100","Union des Classes des Moyennes National (UCM National)","union des classes des moyennes national (ucm national)"
"101","Fédération Européenne pour la Santé Animale et la Sécurité Sanitaire (FESASS)","fédération européenne pour la santé animale et la sécurité sanitaire (fesass)"
"102","Ceská advokátní komora (CAK)","ceská advokátní komora (cak)"
"103","FMC Chemical sprl (FMC)","fmc chemical sprl (fmc)"
"104","Confederation of Danish Industry (DI)","confederation of danish industry (di)"
"105","Council for LAB/LAS Environmental Research (CLER)","council for lab/las environmental research (cler)"
"106","Hitachi Corporate Office, Europe (Hitachi)","hitachi corporate office, europe (hitachi)"
"107","Transatlantic Policy Network (TPN)","transatlantic policy network (tpn)"
"108","COOP de France (COOP de France)","coop de france (coop de france)"
"109","CONFEDERACION ESPAÑOLA DE TRANSPORTE DE MERCANCIAS (CETM)","confederacion española de transporte de mercancias (cetm)"
"110","Movimento Italiano in Europa (MIE)","movimento italiano in europa (mie)"
"111","Roundtable for Europe's Energy Future (REEF)","roundtable for europe's energy future (reef)"
"112","UNI MEI Global Union (UNI MEI)","uni mei global union (uni mei)"
"113","Asociatia ROMA ENTREPRENEURSHIP DEVELOPMENT (REDI)","asociatia roma entrepreneurship development (redi)"
"114","European Alliance for Georgia (EAFG)","european alliance for georgia (eafg)"
"115","Frank Bold Society (FBS)","frank bold society (fbs)"
"116","Novo Nordisk A/S","novo nordisk a/s"
"117","FERRERO International","ferrero international"
"118","Malta Business Foundation (MBF)","malta business foundation (mbf)"
"119","Mondelez Europe GmbH (MDLZ)","mondelez europe gmbh (mdlz)"
"120","Union Nationale des Industries de Manutention (UNIM)","union nationale des industries de manutention (unim)"
"121","GroentenFruit Huis (GFH)","groentenfruit huis (gfh)"
"122","Asociación de Centros de Transporte de España (ACTE)","asociación de centros de transporte de españa (acte)"
"123","Diageo","diageo"
"124","Association Turque des Exportateurs de Textile et d'Habillement (ITKIB)","association turque des exportateurs de textile et d'habillement (itkib)"
"125","Telia Company AB","telia company ab"
"126","Ifpi Sverige (Ifpi)","ifpi sverige (ifpi)"
"127","Garment Manufacturers Association of Cambodia (GMAC)","garment manufacturers association of cambodia (gmac)"
"128","Fagligt Fælles Forbund (3F)","fagligt fælles forbund (3f)"
"129","ECPAT Belgium (ECPAT Belgium)","ecpat belgium (ecpat belgium)"
"130","IBM Corporation (IBM)","ibm corporation (ibm)"
"131","Crédit Agricole S.A.","crédit agricole s.a."
"132","TE Connectivity Belgium BV (TE Connectivity)","te connectivity belgium bv (te connectivity)"
"133","TRANSATEL","transatel"
"134","Wirtschafts- und Infrastrukturbank Hessen (WIBank)","wirtschafts- und infrastrukturbank hessen (wibank)"
"135","British Agriculture Bureau (BAB)","british agriculture bureau (bab)"
"136","Netherlands Maritime Technology (NMT)","netherlands maritime technology (nmt)"
"137","Fair Trials (FT)","fair trials (ft)"
"138","Industri Energi (IE)","industri energi (ie)"
"139","UiPath","uipath"
"140","European Association Notified Bodies Medical Devices (Team-NB)","european association notified bodies medical devices (team-nb)"
"141","Alibaba Group Holding Limited","alibaba group holding limited"
"142","Danish Fishermen Producer Organisation (dkfisk)","danish fishermen producer organisation (dkfisk)"
"143","Hutchison Europe - Brussels Branch (HEBB)","hutchison europe - brussels branch (hebb)"
"144","Danfoss A/S","danfoss a/s"
"145","Fédération Cynologique Internationale - European Section (FCI Europe)","fédération cynologique internationale - european section (fci europe)"
"146","IFPI Danmark (IFPI)","ifpi danmark (ifpi)"
"147","DXC.technology (DXC)","dxc.technology (dxc)"
"148","Vaccines Europe (VE)","vaccines europe (ve)"
"149","Fédération des Entreprises du Commerce et de la Distribution (FCD)","fédération des entreprises du commerce et de la distribution (fcd)"
"150","World Organization of the Scout Movement - Bureau Européen du Scoutisme (WOSM)","world organization of the scout movement - bureau européen du scoutisme (wosm)"
"151","Compagnie de SAINT-GOBAIN","compagnie de saint-gobain"
"152","PwCIL (PwC)","pwcil (pwc)"
"153","Actis - Norwegian Policy Network on Alcohol and Drugs (Actis)","actis - norwegian policy network on alcohol and drugs (actis)"
"154","Swedish Forest Industries Federation","swedish forest industries federation"
"155","AGRISEMZA (AGRISEMZA)","agrisemza (agrisemza)"
"156","Stichting European Council of Drug Helplines (FESAT)","stichting european council of drug helplines (fesat)"
"157","Scandinavian Tobacco Group A/S (STG)","scandinavian tobacco group a/s (stg)"
"158","The LEGO Group","the lego group"
"159","Danish Energy / Dansk Energi (DE)","danish energy / dansk energi (de)"
"160","Danish Pelagic Producer Organisation (DPPO)","danish pelagic producer organisation (dppo)"
"161","Cigna","cigna"
"162","Chevron Belgium BVBA (Chevron)","chevron belgium bvba (chevron)"
"163","ViacomCBS","viacomcbs"
"164","MVM Hungarian Electricity Ltd. (MVM Zrt.)","mvm hungarian electricity ltd. (mvm zrt.)"
"165","Mouvement des Entreprises de France (MEDEF)","mouvement des entreprises de france (medef)"
"166","Association française des sociétés Financières (ASF)","association française des sociétés financières (asf)"
"167","Travelport Worldwide Limited","travelport worldwide limited"
"168","Snam S.p.A. (Snam)","snam s.p.a. (snam)"
"169","Seas At Risk (SAR)","seas at risk (sar)"
"170","Ordre des Barreaux Francophones et Germanophone (AVOCATS.BE)","ordre des barreaux francophones et germanophone (avocats.be)"
"171","Norwegian Confederation of Trade Unions (LO in Norway)","norwegian confederation of trade unions (lo in norway)"
"172","HYDROGEN EUROPE RESEARCH (HE RESEARCH)","hydrogen europe research (he research)"
"173","Civil Rights Defenders (CRD)","civil rights defenders (crd)"
"174","Danish Unions of Teachers (DLF)","danish unions of teachers (dlf)"
"175","Danish Transport and Logistics Association (DTL)","danish transport and logistics association (dtl)"
"176","CEZ, a.s. (CEZ a.s.)","cez, a.s. (cez a.s.)"
"177","Center for Democracy & Technology (CDT)","center for democracy & technology (cdt)"
"178","Oath EMEA Ltd. / Verizon Media (previously Yahoo! EMEA Ltd.)","oath emea ltd. / verizon media (previously yahoo! emea ltd.)"
"179","Johnson & Johnson (J&J)","johnson & johnson (j&j)"
"180","BVI Bundesverband Investment und Asset Management e.V. (BVI)","bvi bundesverband investment und asset management e.v. (bvi)"
"181","Earthsight","earthsight"
"182","Lloyd's Register (LR)","lloyd's register (lr)"
"183","UNIÓN ESPAÑOLA DE ENTIDADES ASEGURADORAS Y REASEGURADORAS (UNESPA)","unión española de entidades aseguradoras y reaseguradoras (unespa)"
"184","Elekta AB","elekta ab"
"185","Swedish Orphan Biovitrum (Sobi)","swedish orphan biovitrum (sobi)"
"186","INSPAD (INSTITUTE OF PEACE AND DEVELOPMENT) (INSPAD)","inspad (institute of peace and development) (inspad)"
"187","The Danish Chamber of Commerce (Dansk Erhverv)","the danish chamber of commerce (dansk erhverv)"
"188","Danish Shipping","danish shipping"
"189","Danish Dairy Board Brussels s.a. (DDBB)","danish dairy board brussels s.a. (ddbb)"
"190","Bank of Valletta Group (BOV)","bank of valletta group (bov)"
"191","Certiport, a Business of NCS Pearson, Inc.","certiport, a business of ncs pearson, inc."
"192","Commodity Markets Council - Europe (CMCE)","commodity markets council - europe (cmce)"
"193","Amgen Inc","amgen inc"
"194","The Smile of the Child (TSOC)","the smile of the child (tsoc)"
"195","Nokia","nokia"
"196","Barry Callebaut AG (BC)","barry callebaut ag (bc)"
"197","Shell Companies (Shell)","shell companies (shell)"
"198","Cámara Oficial de Comercio, Industria, Servicios y Navegación de España (Cámara de España)","cámara oficial de comercio, industria, servicios y navegación de españa (cámara de españa)"
"199","Krajowa Rada Izb Rolniczych (KRIR)","krajowa rada izb rolniczych (krir)"
"200","Vattenfall","vattenfall"
"201","Trustly Group AB","trustly group ab"
"202","European Barge Union (EBU)","european barge union (ebu)"
"203","Etihad Airways","etihad airways"
"204","Evergreen Marine Corp. (Taiwan) Ltd.","evergreen marine corp. (taiwan) ltd."
"205","Counter Balance (CB)","counter balance (cb)"
"206","Charita Ceská republika (CHCR)","charita ceská republika (chcr)"
"207","Mattel","mattel"
"208","Raytheon Technologies (RTX)","raytheon technologies (rtx)"
"209","Brot für die Welt (BfdW)","brot für die welt (bfdw)"
"210","Arbeiter-Samariter-Bund Deutschland e.V. (ASB)","arbeiter-samariter-bund deutschland e.v. (asb)"
"211","Schweizerischer Versicherungsverband (SVV)","schweizerischer versicherungsverband (svv)"
"212","European Association of Mail Service Pharmacies (EAMSP)","european association of mail service pharmacies (eamsp)"
"213","Vereniging VNO-NCW (VNO-NCW)","vereniging vno-ncw (vno-ncw)"
"214","ViiV Healthcare Limited (ViiV)","viiv healthcare limited (viiv)"
"215","Airbus","airbus"
"216","European Blood Alliance (EBA)","european blood alliance (eba)"
"217","Cycling Industries Europe AISBL (CIE)","cycling industries europe aisbl (cie)"
"218","CEE Bankwatch Network (BWN)","cee bankwatch network (bwn)"
"219","Apollo Tyres Global R&D B.V.","apollo tyres global r&d b.v."
"220","Emirates Airline (EK)","emirates airline (ek)"
"221","EUROPEAN ALLIANCE OF YMCAs (YMCA Europe)","european alliance of ymcas (ymca europe)"
"222","International Rehabilitation Council for Torture Victims (IRCT)","international rehabilitation council for torture victims (irct)"
"223","Kindred","kindred"
"224","QUALCOMM Incorporated (QCOM (NASDAQ))","qualcomm incorporated (qcom (nasdaq))"
