"","partial.name","regex","full.name"
"1","""European Construction Industry Federation","european construction industry federation","European Construction Industry Federation (FIEC)"
"2"," Zentralverband des deutschen Baugewerbes","zentralverband des deutschen baugewerbes","Zentralverband des Deutschen Baugewerbes (ZDB)"
"3"," Hauptverband der Deutschen Bauindustrie ""","hauptverband der deutschen bauindustrie","Hauptverband der Deutschen Bauindustrie (BAUINDUSTRIE)"
"4","1&1 Drillisch AG 439568220616-04","1 1 drillisch ag 439568220616 04","1&1 Drillisch AG"
"5","3F","3f","Fagligt Fælles Forbund (3F)"
"6","ABI","abi","Associazione Bancaria Italiana (ABI)"
"7","Apple","apple","Apple Inc."
"8","EDIMA","edima","EDiMA"
"9","AbL Baden-Württemberg","abl baden württemberg","SÜDWESTMETALL - Verband der Metall- und Elektroindustrie Baden-Württemberg e. V."
"10","AbL Niedersachsen","abl niedersachsen","Unternehmerverbände Niedersachsen e.V. (UVN)"
"11","ABN Amro Clearing Bank","abn amro clearing bank","ABN AMRO Clearing Bank N.V. (AACB)"
"12","Académie d’agriculture","académie d agriculture","Fédération Nationale d'Agriculture Biologique des régions de France (FNAB)"
"13","Académie nationale de pharmacie (France)","académie nationale de pharmacie france","Association Nationale des Etudiants en Pharmacie de France (ANEPF)"
"14","ACAP","acap",""
"15"," SUACI Montagn'Alpes","suaci montagn alpes","Commission Internationale pour la Protéction des Alpes (CIPRA International)"
"16"," ARDAR","ardar",""
"17"," COPAMAC-SIDAM","copamac sidam",""
"18","Access Now","access now","Access Now"
"19"," EDiMA","edima","EDiMA"
"20"," GSMA Europe","gsma europe","GSMA Europe (GSMA Europe)"
"21"," Allied for Startups asbl","allied for startups asbl","Allied for Startups asbl (AFS)"
"22"," EBU-UER (European Broadcasting Union)","ebu uer european broadcasting union","EBU-UER (European Broadcasting Union) (EBU-UER)"
"23"," Schibsted ASA","schibsted asa","Schibsted ASA"
"24"," European Telecommunications Network Operators' Association (ETNO)","european telecommunications network operators association etno","European Telecommunications Network Operators' Association (ETNO)"
"25"," Wikimedia Foundation","wikimedia foundation","Wikimedia Foundation (WMF)"
"26"," Apple Inc.","apple inc","Apple Inc."
"27"," Bundesverband Informationswirtschaft","bundesverband informationswirtschaft","Bundesverband Informationswirtschaft, Telekommunikation und neue Medien e. V. (Bitkom)"
"28"," Telekommunikation und neue Medien e.V. (Bitkom)","telekommunikation und neue medien e v bitkom","Bundesverband Informationswirtschaft, Telekommunikation und neue Medien e. V. (Bitkom)"
"29"," Arbeitsgemeinschaft der Landesmedienanstalten in der Bundesrepublik Deutschland","arbeitsgemeinschaft der landesmedienanstalten in der bundesrepublik deutschland","Arbeitsgemeinschaft katholisch-sozialer Bildungswerke in der Bundesrepublik Deutschland e.V. (AKSB)"
"30"," epicenter.works - Plattform Grundrechtspolitik","epicenter works plattform grundrechtspolitik","epicenter.works - Plattform Grundrechtspolitik (epicenter.works)"
"31"," Facebook Ireland Limited","facebook ireland limited","Facebook Ireland Limited (FB-I)"
"32"," European Magazine Media Association (EMMA)/European Newspaper Publichers' Association (ENPA)","european magazine media association emma european newspaper publichers association enpa","European Magazine Media Association (EMMA)"
